Feature,Float,Profile,Colour,x1,x2,y1,y2,lat,long
max,3901938,26,green,35.3341013774252,35.395675089056326,14.385575000000003,15.276588775510206,-35.92263,-4.332401666666667
max,3901976,30,green,39.10540495804109,39.11710366708117,15.347063265306126,15.448781632653066,36.66900166666667,21.79216666666667
max,1901712,63,green,36.11184067004929,36.16902236792417,22.776417806122446,25.35083795918367,11.66258,-24.15249
max,3901236,83,green,37.396565171162116,37.509318155697734,22.198977074829934,23.827999625850346,20.71606,-36.03599000000001
max,3902204,14,green,37.20315817568678,37.37286596731204,23.90458457482994,25.364412193877556,-19.34066,-34.883340000000004
max,3901624,66,green,35.634348817678195,35.676286468312945,9.10569142857143,9.74519857142857,46.986,-9.69799999999998
max,3901515,47,green,35.68522990010406,35.79285061902641,14.777979336734699,15.734261190476197,-39.1459,-42.0889
max,3901521,11,green,36.24995656197126,36.4227050307141,21.457779081632655,24.262989081632657,-27.191,-24.582
max,1902062,142,green,36.148186724660185,36.28381400493952,19.91117782312925,21.625533197278912,-30.91187,-14.60058
max,3901820,93,green,35.919232791128394,36.01105655072354,17.59870897959184,20.70377806122449,2.3717,-0.80679
max,1901870,110,green,34.40656304900298,34.453871246235025,7.9440887755102025,9.080662329931972,-45.1116,-4.5576
max,1901867,55,green,34.547392573302545,34.58643146153909,8.455099761904759,8.998554047619045,-43.3181,-6.2163
max,3901685,10,green,35.97162855485823,36.09052594078565,23.641040000000004,26.01974285714286,-10.930135,10.449351666666667
max,3901515,27,green,36.10147288656347,36.259467160656214,18.9992743877551,20.597701734693878,-37.593,-49.264
max,3902240,18,green,35.830188095502734,35.929108825107306,19.498823928571426,21.709983690476193,-30.66445,-28.91493
max,3901850,100,green,35.0577698074291,35.06634886072515,4.569526530612244,5.1125074829931965,69.20835333333333,-0.7896466666666666
